id|username|email|password|type|dti
1|user_abcd|user_abcd@gmail.com|test@123|1|0000-00-00 00:00:00
3|user_abcd|user_abcd@gmail.com|test@123|1|0000-00-00 00:00:00
4|user_abcd|user_abcd@gmail.com|test@123|1|0000-00-00 00:00:00
5|user_abcd|user_abcd@gmail.com|test@123|1|0000-00-00 00:00:00
6|user_abcd|user_abcd@gmail.com|test@123|1|0000-00-00 00:00:00
7|user_abcd|user_abcd@gmail.com|test@123|1|0000-00-00 00:00:00
8|user_abcd|user_abcd@gmail.com|test@123|1|0000-00-00 00:00:00
9|user_abcd|user_abcd@gmail.com|test@123|1|0000-00-00 00:00:00
10|user_abcd|user_abcd@gmail.com|test@123|1|0000-00-00 00:00:00
11|user_abcd|user_abcd@gmail.com|test@123|1|0000-00-00 00:00:00
12|user_abcd|user_abcd@gmail.com|test@123|1|0000-00-00 00:00:00
13|user_abcd|user_abcd@gmail.com|test@123|1|0000-00-00 00:00:00
14|user_abcd|user_abcd@gmail.com|test@123|1|0000-00-00 00:00:00
15|user_abcd|user_abcd@gmail.com|test@123|1|0000-00-00 00:00:00
16|user_abcd|user_abcd@gmail.com|test@123|1|0000-00-00 00:00:00
17|user_abcd|user_abcd@gmail.com|test@123|1|0000-00-00 00:00:00
18|user_abcd|user_abcd@gmail.com|test@123|1|0000-00-00 00:00:00
19|user_abcd|user_abcd@gmail.com|test@123|1|0000-00-00 00:00:00
20|user_abcd|user_abcd@gmail.com|test@123|1|0000-00-00 00:00:00
21|user_abcd|user_abcd@gmail.com|test@123|1|0000-00-00 00:00:00
22|user_abcd|user_abcd@gmail.com|test@123|1|0000-00-00 00:00:00
23|user_abcd|user_abcd@gmail.com|test@123|1|0000-00-00 00:00:00
24|user_abcd|user_abcd@gmail.com|test@123|1|0000-00-00 00:00:00
25|user_abcd|user_abcd@gmail.com|test@123|1|0000-00-00 00:00:00
26|user_abcd|user_abcd@gmail.com|test@123|1|0000-00-00 00:00:00
27|user_abcd|user_abcd@gmail.com|test@123|1|0000-00-00 00:00:00
28|user_abcd|user_abcd@gmail.com|test@123|1|0000-00-00 00:00:00
29|user_abcd|user_abcd@gmail.com|test@123|1|0000-00-00 00:00:00
30|user_abcd|user_abcd@gmail.com|test@123|1|0000-00-00 00:00:00
31|user_abcd|user_abcd@gmail.com|test@123|1|0000-00-00 00:00:00
32|user_abcd|user_abcd@gmail.com|test@123|1|0000-00-00 00:00:00
33|user_abcd|user_abcd@gmail.com|test@123|1|0000-00-00 00:00:00
34|user_abcd|user_abcd@gmail.com|test@123|1|0000-00-00 00:00:00
35|user_abcd|user_abcd@gmail.com|test@123|1|0000-00-00 00:00:00
36|user_abcd|user_abcd@gmail.com|test@123|1|0000-00-00 00:00:00
37|user_abcd|user_abcd@gmail.com|test@123|1|0000-00-00 00:00:00
38|user_abcd|user_abcd@gmail.com|test@123|1|0000-00-00 00:00:00
39|user_abcd|user_abcd@gmail.com|test@123|1|0000-00-00 00:00:00
40|user_abcd|user_abcd@gmail.com|test@123|1|0000-00-00 00:00:00
41|user_abcd|user_abcd@gmail.com|test@123|1|0000-00-00 00:00:00
42|user_abcd|user_abcd@gmail.com|test@123|1|0000-00-00 00:00:00
43|user_abcd|user_abcd@gmail.com|test@123|1|0000-00-00 00:00:00
44|user_abcd|user_abcd@gmail.com|test@123|1|0000-00-00 00:00:00
45|user_abcd|user_abcd@gmail.com|test@123|1|0000-00-00 00:00:00
46|user_abcd|user_abcd@gmail.com|test@123|1|0000-00-00 00:00:00
47|user_abcd|user_abcd@gmail.com|test@123|1|0000-00-00 00:00:00
48|user_abcd|user_abcd@gmail.com|test@123|1|0000-00-00 00:00:00
49|user_abcd|user_abcd@gmail.com|test@123|1|0000-00-00 00:00:00
50|user_abcd|user_abcd@gmail.com|test@123|1|0000-00-00 00:00:00
51|user_abcd|user_abcd@gmail.com|test@123|1|0000-00-00 00:00:00
52|user_abcd|user_abcd@gmail.com|test@123|1|0000-00-00 00:00:00
53|user_abcd|user_abcd@gmail.com|test@123|1|0000-00-00 00:00:00
54|user_abcd|user_abcd@gmail.com|test@123|1|0000-00-00 00:00:00
55|user_abcd|user_abcd@gmail.com|test@123|1|0000-00-00 00:00:00
56|user_abcd|user_abcd@gmail.com|test@123|1|0000-00-00 00:00:00
57|user_abcd|user_abcd@gmail.com|test@123|1|0000-00-00 00:00:00
58|user_abcd|user_abcd@gmail.com|test@123|1|0000-00-00 00:00:00
59|user_abcd|user_abcd@gmail.com|test@123|1|0000-00-00 00:00:00
60|user_abcd|user_abcd@gmail.com|test@123|1|0000-00-00 00:00:00
